aqi,area,pm2_5,pm2_5_24h,position_name,primary_pollutant,quality,station_code,time_point
32,北京,37,20,定陵,颗粒物(PM10),良,1002A,2017-07-29T14:00:00Z
47,北京,32,33,万寿西宫,,优,1001A,2017-07-29T14:00:00Z
